Date,Morocco,Oriental,Tanger-Tétouan-Al Hoceima,Fès-Meknès,Beni Mellal-Khénifra,Rabat-Salé-Kénitra,Casablanca-Settat,Marrakech-Safi,Draa-Tafilalet,Souss-Massa,Guelmim-Oued Noun,Laayoune-Sakia-El-Hamra,Dakhla-Oued Ed-Dahab
2016-09-30,958445.7677452916,109562.46596790652,116912.32627174677,98427.05398476518,64993.69587860667,106594.13588379436,154189.0536764251,105085.65291501477,44202.045822167216,58427.17071381997,19184.73544656679,49025.91330461934,31841.517879858893
2016-12-31,1095376.1518400377,136072.91731202012,116668.05804979165,105280.39449332231,69418.70911659178,109688.57588239074,164577.20309496764,115982.8611331572,60809.158985522714,76048.93583037099,29364.619276868732,69748.28794555529,41716.43071947841
2017-03-31,1532220.8127825256,182475.13878356307,127449.10038923025,127672.74551967373,88362.03848008816,121610.38318057785,187340.72702091894,138613.94401025065,122651.48377553142,108695.89483128545,57038.06274938822,156405.94303155548,113905.35101046215
2017-06-30,1723537.2997948052,183551.8543991284,132928.66037035768,141263.0359502169,96574.63619479717,131245.20730069213,189122.5680151771,149951.30092462065,139067.20162766112,115139.89573790232,66802.73739242025,205701.2922414831,172188.90964034843
2017-09-30,1616637.0602225042,174337.34729501032,144492.1638798961,135169.76097261973,92557.86897521524,131769.7649135555,182238.01423480047,143873.52554579548,119130.61896802625,111114.26422091371,60542.58476615397,177522.3212694109,143888.82518110677
2017-12-31,1934288.0962621479,209738.40050360048,150268.83470566702,159632.108808068,106956.00436545105,145189.4563332288,205722.10371357354,163747.5036269433,164492.92924944308,138131.61568953254,81129.05270135477,233661.01013317893,175619.07643210655
2018-03-31,1617704.2892742113,179917.2323298282,138156.48656298209,130214.86502751843,91716.9854552179,128599.68553526812,186994.69526441104,141910.80792185545,131146.27719049942,115310.08958146995,62560.36475811171,178704.54101981563,132472.25862723318
2018-06-30,1705359.459121813,183699.9384806063,142388.07068126104,133703.5498371995,93909.44970319729,131900.91783820846,193037.3262479752,139867.1532456061,134637.373566905,117612.62245686143,69383.83638636763,205470.08291034237,159749.13776728266
2018-09-30,1563286.8189583884,168515.62922995957,145886.1707125871,132111.65179612304,90796.25401729287,129973.23305001442,176854.57417033054,139739.22787831895,112162.6867857455,105989.29457326223,56743.88533655673,168052.27579979875,136461.93560839872
2018-12-31,1607392.2622809263,183955.63617434117,145632.04988878217,134129.14164326317,90419.81212903913,132418.80090754747,194603.054090166,140304.91684999154,128059.75573426117,114466.17863460364,58577.574633675635,161780.6399350046,123044.70166025062
2019-03-31,1374120.5817190064,161405.47599245576,152453.76331071477,126126.00801062165,84651.44231798936,138139.15516425436,202379.89044424903,131455.25041206257,86420.94200689073,90961.75268268421,37435.67285324181,97611.70940977347,65079.51911406869
2019-06-30,1800547.9361570824,191676.0097859049,154220.8141812497,146950.0889202898,99344.84534675076,152155.15942352952,221812.0398691459,154047.74282630137,138224.06747662794,121383.40675292825,66558.49277296306,196676.5929209222,157498.67588046906
2019-09-30,1479007.5766484283,165348.90171476628,151059.95306754854,132374.0341276628,87757.28914418061,134902.74717832956,185011.5246686555,137131.50017812513,97115.11641440104,97154.99981415452,48502.690689849434,137271.24565651114,105377.57399424394
2019-12-31,1720579.5204236805,198685.97968285158,141722.2678016262,144694.85342187012,99946.13634147828,141256.55965253894,210699.2991395234,152774.66596811544,141591.88044915977,123897.54456655572,64437.02306304659,175987.9393740408,124885.37096287367
2020-03-31,1631854.1570144985,175057.64410660058,142764.3148727141,139576.59154692446,96300.52251165929,147997.17301019523,214286.4353568869,143881.19074283305,122546.1069451648,118532.75569090752,57402.305112702656,160974.28621011824,112534.83090779149
2020-06-30,1940905.472967704,200824.21506643208,147809.07294635015,150317.0947040941,102774.98662542258,154869.8304167585,221082.78588066786,152578.05201543268,158561.23085358122,136286.3658038337,79260.84627032545,243423.52554682473,193117.46683798102
2020-09-30,1770251.8711247887,188044.8175825385,149121.45984772724,146520.8263262472,98385.53350898164,139706.3800449492,209412.58285945235,150545.17298629464,134246.96067418685,123529.89472882931,67364.85282969779,203148.4178702135,160224.9718656703
2020-12-31,2063007.01175501,223665.7617731105,149594.30649599433,160660.36255949913,112135.9705540904,158893.19010125578,226681.54041041082,165609.69632145565,172600.57860669398,147532.64380374984,85419.78774473521,256029.63152909963,204183.5418549151
